Source,Target,Weight,Type,Layer,timeset,Label
0,8,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
0,19,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
1,8,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
2,8,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
3,8,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
4,17,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
5,18,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
6,17,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
6,18,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
7,19,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
8,21,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
9,21,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
10,15,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
10,31,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
10,30,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
11,14,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
11,28,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
11,29,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
12,14,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
12,28,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
12,29,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
12,121,1.0,CREATE,BETWEEN,"""<[4,27]>""",CREATE
13,14,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
13,28,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
13,29,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
14,15,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
14,31,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
14,30,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
14,28,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
14,29,1.0,INTERNAL,NAVARCH,"""<[0,27]>""",INTERNAL
